Symbol,Security Name,Exchange,ETF
ALTO,"Alto Ingredients, Inc. - Common Stock",NASDAQ,N
ALV,"Autoliv, Inc. Common Stock",NYSE,N
ALX,"Alexander's, Inc. Common Stock",NYSE,N
ALXO,ALX Oncology Holdings Inc. - Common Stock,NASDAQ,N
ALZN,"Alzamend Neuro, Inc. - Common Stock",NASDAQ,N
AM,Antero Midstream Corporation Common Stock,NYSE,N
AMAL,Amalgamated Financial Corp. - Common Stock,NASDAQ,N
AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,N
AMBQ,"Ambiq Micro, Inc. Common Stock",NYSE,N
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",NYSE,N
AMCI,AMC Robotics Corporation - Common Stock,NASDAQ,N
AMCX,AMC Global Media Inc. - Class A Common Stock,NASDAQ,N
AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,N
AMG,"Affiliated Managers Group, Inc. Common Stock",NYSE,N
AMGN,Amgen Inc. - Common Stock,NASDAQ,N
AMIX,"Autonomix Medical, Inc. - Common Stock",NASDAQ,N
AMKR,"Amkor Technology, Inc. - Common Stock",NASDAQ,N
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",NASDAQ,N
AMP,"Ameriprise Financial, Inc. Common Stock",NYSE,N
AMPG,"Amplitech Group, Inc. - Common Stock",NASDAQ,N
AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
AMPL,"Amplitude, Inc. - Class A Common Stock",NASDAQ,N
AMPX,"Amprius Technologies, Inc. Common Stock",NYSE,N
AMPX.W,"Amprius Technologies, Inc. Warrants to purchase one share of Common Stock at an exercise price of $11.50 per share",NYSE,N
AMPY,Amplify Energy Corp. Common Stock,NYSE,N
AMR,"Alpha Metallurgical Resources, Inc. Common Stock",NYSE,N
AMRC,"Ameresco, Inc. Class A Common Stock",NYSE,N
AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",NASDAQ,N
AMSC,American Superconductor Corporation - Common Stock,NASDAQ,N
AMSF,"AMERISAFE, Inc. - Common Stock",NASDAQ,N
AMSS,AMASS Brands Inc. - Common Stock,NASDAQ,N
AMST,Amesite Inc. - Common Stock,NASDAQ,N
AMT,American Tower Corporation (REIT) Common Stock,NYSE,N
AMTB,Amerant Bancorp Inc. Class A Common Stock,NYSE,N
AMTM,"Amentum Holdings, Inc. Common Stock",NYSE,N
AMTX,"Aemetis, Inc - Common Stock",NASDAQ,N
AMWL,American Well Corporation Class A Common Stock,NYSE,N
AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,N
AN,"AutoNation, Inc. Common Stock",NYSE,N
ANAB,"AnaptysBio, Inc. - Common Stock",NASDAQ,N
ANDE,"The Andersons, Inc. - Common Stock",NASDAQ,N
ANDG,Andersen Group Inc. Class A Common Stock,NYSE,N
ANET,"Arista Networks, Inc. Common Stock",NYSE,N
ANF,Abercrombie & Fitch Company Common Stock,NYSE,N
ANGI,Angi Inc. - Class A Common Stock,NASDAQ,N
ANGO,"AngioDynamics, Inc. - Common Stock",NASDAQ,N
ANGX,"Angel Studios, Inc. Class A Common Stock",NYSE,N
ANIK,Anika Therapeutics Inc. - Common Stock,NASDAQ,N
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
ANIX,"Anixa Biosciences, Inc. - Common Stock",NASDAQ,N
ANNA,"AleAnna, Inc. - Class A Common Stock",NASDAQ,N
ANNX,"Annexon, Inc. - common stock",NASDAQ,N
ANRO,"Alto Neuroscience, Inc. Common Stock",NYSE,N
ANTX,"AN2 Therapeutics, Inc. - Common Stock",NASDAQ,N
ANVS,"Annovis Bio, Inc. Common Stock",NYSE,N
AOMR,"Angel Oak Mortgage REIT, Inc. Common Stock",NYSE,N
AORT,"Artivion, Inc. Common Stock",NYSE,N
AOS,A.O. Smith Corporation Common Stock,NYSE,N
AOUT,"American Outdoor Brands, Inc. - Common Stock",NASDAQ,N
AP,Ampco-Pittsburgh Corporation Common Stock,NYSE,N
APA,APA Corporation - Common Stock,NASDAQ,N
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,NYSE,N
APC,ARKO Petroleum Corp. - Class A Common Stock,NASDAQ,N
APD,"Air Products and Chemicals, Inc. Common Stock",NYSE,N
APEI,"American Public Education, Inc. - Common Stock",NASDAQ,N
APG,APi Group Corporation Common Stock,NYSE,N
APGE,"Apogee Therapeutics, Inc. - Common Stock",NASDAQ,N
APH,Amphenol Corporation Common Stock,NYSE,N
APLD,Applied Digital Corporation - Common Stock,NASDAQ,N
APO,"Apollo Global Management, Inc. (New) Common Stock",NYSE,N
APOG,"Apogee Enterprises, Inc. - Common Stock",NASDAQ,N
APP,Applovin Corporation - Class A Common Stock,NASDAQ,N
